gn,fileId,ok,size,mean_db,note,src_sdm
sdom1423,11423,1,2060810,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1423.sdm
sdom1424,11424,1,1576223,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1424.sdm
sdom1426,11426,1,1616111,-14.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1426.sdm
sdom1429,11429,1,3161198,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1429.sdm
sdom1432,11432,1,2460342,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1432.sdm
sdom1436,11436,1,2152611,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1436.sdm
sdom1434,11434,1,2135322,-8.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1434.sdm
sdom1437,11437,1,1519485,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1437.sdm
sdom1439,11439,1,1715088,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1439.sdm
sdom1440,11440,1,2578495,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1440.sdm
sdom1533,11533,1,1564221,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1533.sdm
sdom1556,11556,1,1922427,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1556.sdm
sdom1550,11550,1,2267241,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1550.sdm
sdom1569,11569,1,1125515,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1569.sdm
sdom1559,11559,1,2528151,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1559.sdm
sdom1558,11558,1,2738378,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1558.sdm
sdom1570,11570,1,1802101,-6.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1570.sdm
sdom1571,11571,1,1649751,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1571.sdm
sdom1576,11576,1,1899597,-8.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1576.sdm
sdom1578,11578,1,1838453,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1578.sdm
sdom1577,11577,1,1637848,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1577.sdm
sdom1582,11582,1,1347625,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1582.sdm
sdom1619,11619,1,1264328,-12.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1619.sdm
sdom1616,11616,1,1537999,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1616.sdm
sdom1620,11620,1,1361563,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1620.sdm
sdom1621,11621,1,1738877,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1621.sdm
sdom1622,11622,1,1215618,-10.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1622.sdm
sdom1629,11629,1,1341649,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1629.sdm
sdom1628,11628,1,1126337,-12.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1628.sdm
sdom1691,11691,1,1228869,-10.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1691.sdm
sdom1687,11687,1,1836772,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1687.sdm
sdom1631,11631,1,1317092,-14.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1631.sdm
sdom1690,11690,1,1179186,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1690.sdm
sdom1692,11692,1,1659073,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1692.sdm
sdom1694,11694,1,1064910,-8.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1694.sdm
