gn,title,artist,src,bpm,fileId
sdom2006,Tomorrow,Avril Lavigne,kgn,68,12006
sdom2007,I Like It,Enrique Iglesias Pitbull,kgn,129,12007
sdom2008,Party Girl,McFly,kgn,125,12008
sdom2009,壞天使,江映蓉,kgn,125,12009
sdom2010,左右,戴愛玲,kgn,144,12010
sdom2011,青春門,楊丞琳,kgn,122,12011
sdom2012,新流感,楊丞琳,kgn,142,12012
sdom2013,愛瘋頭,羅志祥,kgn,102,12013
sdom2014,大開眼界,魔幻1+1,kgn,112,12014
sdom2015,黑白之吻,SID,kgn,150,12015
sdom2016,黑吃黑,張惠妹,kgn,110,12016
sdom2017,異想天開,楊丞琳,kgn,102,12017
sdom2018,Mission Statement,Stone Sour,kgn,170,12018
sdom2019,Break It,安室奈美惠,kgn,128,12019
sdom2020,講男講女,陳奕迅 露雲娜,kgn,95,12020
sdom2021,"Jump, Jump, Jump",高耀太,kgn,126,12021
sdom2022,夏天,李玖哲,kgn,94,12022
sdom2023,愛上你,BY2,kgn,64,12023
sdom2026,Mine,Taylor Swift,kgn,121,12026
sdom2027,現在開始我愛你,李勝基,kgn,134,12027
sdom2028,超級自戀男,喬洋,kgn,81,12028
sdom2030,Go Away,2NE1,kgn,128,12030
sdom2031,ヘビーローテーション,AKB48,kgn,178,12031
sdom2035,吻我好嗎,G.NA,kgn,92,12035
sdom2036,Breaking News,邁克爾·傑克遜,kgn,113,12036
sdom2040,Hello,SHINee,kgn,97,12040
sdom2050,請播放音樂 DJ,miss A,kgn,132,12050
sdom2051,Ma! Boy？,韓彩媛,kgn,124,12051
sdom2052,天空 大地 星星,T-ara,kgn,136,12052
sdom2053,Oh!我的女神,Trax,kgn,160,12053
sdom2054,Windows Of Myself,Tres.B,kgn,162.97,12054
sdom2055,男女共學,Too Late,kgn,135,12055
sdom2056,心碎了,吳宗赫,kgn,105,12056
sdom2057,說愛你,昭宥,kgn,65,12057
sdom2058,One Thing,4Minute,kgn,80,12058
sdom2059,burning,瑪麗亞 - 亞瑞唐多,kgn,68,12059
sdom2060,hello、hello,張根錫,kgn,98,12060
sdom2061,Evans,DJ Yoshitaka,kgn,185,12061
sdom2062,my precious,瑪麗外宿中,kgn,80.1,12062
sdom2063,super star,Kara,kgn,113,12063
sdom2064,tell me your love,trax,kgn,120,12064
sdom2065,my bus,張根錫,kgn,115,12065
sdom2066,winner,不思議遊戲,kgn,132.28,12066
sdom2067,congratulation,瑪麗外宿中,kgn,90,12067
sdom2068,running,瑪麗外宿中,kgn,170,12068
sdom2069,亡靈,電鋸驚魂,kgn,147,12069
sdom2070,ピアノ协奏曲第1番“悲鸣”,岬,kgn,165,12070
sdom2071,Summer,久石讓,kgn,90.4,12071
sdom2072,Dragon Blade,Kozo Nakamura,kgn,240,12072
sdom2073,勿忘草,ピコ,kgn,170,12073
sdom2074,again,YUI,kgn,140.1,12074
sdom2075,Rain,YUI,kgn,155,12075
sdom2076,Stoer,ピコ,kgn,170.2,12076
sdom2077,Albida,DJ YOSHITAKA,kgn,185,12077
sdom2078,会いたいロンリ_クリスマス,℃-ute,kgn,142,12078
sdom2079,瞬_センチメンタル,SCANDAL,kgn,168,12079
sdom2090,only my railgun,fripSide,kgn,143,12090
sdom2091,S.H.E,JUJU,kgn,65,12091
sdom2092,love forever,加藤ミリヤ&清水翔太,kgn,120,12092
sdom2093,情歌沒有告訴你,梁靜茹,kgn,67,12093
sdom2094,メルト,初音,kgn,170,12094
sdom2095,她說,林俊杰,kgn,85,12095
sdom2096,那個女人,秘密花園,kgn,70,12096
sdom2097,falling,Beast,kgn,120,12097
sdom2098,寂寞寂寞就好,田馥甄,kgn,76,12098
sdom2099,trust you,伊藤由奈,kgn,89,12099
sdom2100,都是因為你,Beast,kgn,100,12100
sdom2101,Forget You,CEE LO GREEN,kgn,127.5,12101
sdom2102,Black & White,G.NA,kgn,134,12102
sdom2103,B.o.B  Price Tag,Jessie J Feat,kgn,87.5,12103
sdom2104,可疑的男人,李貞賢,kgn,128,12104
sdom2105,genie,少女時代,kgn,123,12105
sdom2106,hoot,少女時代,kgn,128,12106
sdom2107,Visual Dream,少女時代,kgn,131,12107
sdom2108,distance,西野カナ,kgn,140,12108
sdom2109,dream high,2PM,kgn,127,12109
sdom2110,rolling in the deep,adele,kgn,105,12110
sdom2111,we r who we r,ke$ha,kgn,120,12111
sdom2112,wish,olivia,kgn,162,12112
sdom2113,每天每天,殆死悲愛,kgn,85,12113
sdom2114,orion,中島美嘉,kgn,72,12114
sdom2115,a manin love,super junior,kgn,100,12115
sdom2116,supa luv,teen top,kgn,116,12116
sdom2117,telephone,lady gaga feat. beyonce,kgn,122,12117
sdom2118,Shining Star,超新星,kgn,130,12118
sdom2119,令人興奮,殆死悲愛,kgn,120,12119
sdom2120,Kiss Me 愛してる,°C-ute,kgn,152,12120
sdom2121,abracadabra,brown eyed girls,kgn,128,12121
sdom2122,granade,bruno mars,kgn,111,12122
sdom2123,just the way u are,bruno mars,kgn,109,12123
sdom2124,Alicia  OST,IU,kgn,136,12124
sdom2125,吞噬太陽,trax,kgn,100,12125
sdom2126,flower dance,dj okawari,kgn,100,12126
sdom2127,luv letter,dj okawari,kgn,95,12127
sdom2128,Lilac,中島岬,kgn,170,12128
sdom2129,Tempest,中島岬,kgn,135,12129
sdom2130,香水,徐佳瑩,kgn,118,12130
sdom2131,love the way you lie,Eminem&rihanna,kgn,87,12131
sdom2132,High High,Bigbang,kgn,130,12132
sdom2133,Jumping,KARA,kgn,126,12133
sdom2134,おしゃれ マイドリ_ム,小川真奈,kgn,137,12134
sdom2135,Turtles,烏龜組合,kgn,135,12135
sdom2136,Eyes Wide Shut,JLS,kgn,128,12136
sdom2137,For You,Rie.fu,kgn,100,12137
sdom2138,kasio,taru,kgn,108,12138
sdom2139,maybe,閔先藝,kgn,100,12139
sdom2140,動畫歌曲串燒,動畫歌曲串燒,kgn,136,12140
sdom2171,最愛,2AM,kgn,78,12171
sdom2172,WHY,4Minute,kgn,130,12172
sdom2173,けない心,AAA,kgn,134,12173
sdom2174,チャンスの顺番,akb48,kgn,158,12174
sdom2175,約定,a.n.jell,kgn,130,12175
sdom2176,dash girl,尹恩惠,kgn,140,12176
sdom2177,我的女友是九尾狐,諾珉宇,kgn,90,12177
sdom2178,依然,李弘基,kgn,118,12178
sdom2179,Lovely Day,樸信惠,kgn,127,12179
